Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(1, 0, 1)",0,2,n,False,True,False,,,False,False,True,-2801.8354,0.0185,1.072,5.6425,80.7537
1,"(1, 0, 1)",0,2,c,True,True,False,,,False,False,True,-2799.5338,0.0185,1.0727,5.6358,76.8432
2,"(0, 1, 1)",1,1,n,False,True,False,,,False,False,True,-2806.8289,0.0185,1.0732,5.6774,87.2127
3,"(2, 0, 0)",0,2,n,False,True,False,,,False,False,True,-2800.2752,0.0185,1.0732,5.6806,83.9332
4,"(1, 1, 0)",1,1,n,False,True,False,,,False,False,True,-2806.8557,0.0185,1.0733,5.6797,71.3938
5,"(1, 1, 1)",1,2,n,False,True,False,,,False,False,True,-2804.71,0.0185,1.0739,5.6846,85.675
6,"(1, 0, 0)",0,1,n,False,True,False,,,False,False,True,-2803.5639,0.0185,1.0741,5.6599,59.9812
7,"(2, 0, 1)",0,3,n,False,True,False,,,False,False,True,-2804.8175,0.0185,1.0742,5.5978,76.5626
8,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,-2801.5721,0.0185,1.0745,5.6651,60.1164
9,"(2, 0, 1)",0,3,c,True,True,False,,,False,False,True,-2803.9297,0.0185,1.0756,5.6114,84.6504
10,"(0, 1, 0)",1,0,n,False,True,False,,,False,False,True,-2808.5028,0.0185,1.0757,5.6987,71.9882
11,"(1, 0, 2)",0,3,n,False,True,False,,,False,False,True,-2802.7043,0.0186,1.0783,5.6441,88.4072
12,"(3, 0, 0)",0,3,c,True,True,False,,,False,False,True,-2800.9083,0.0186,1.0793,5.6523,90.3841
13,"(1, 2, 1)",2,2,c,True,True,False,,,False,False,True,-2786.1361,0.0186,1.0798,5.7727,122.4394
14,"(3, 0, 0)",0,3,n,False,True,False,,,False,False,True,-2802.8368,0.0186,1.0802,5.6618,82.5955
