Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(1, 0, 0)",0,1,n,False,True,False,,,False,False,True,4316.2494,3.6629,1.252,0.7746,26.7552
1,"(1, 0, 0)",0,1,c,True,True,True,252,4,False,False,True,4328.2056,3.7641,1.2866,0.7926,36.8649
2,"(1, 0, 0)",0,1,t,True,True,True,252,4,False,False,True,4330.8688,3.7831,1.2931,0.7952,75.5142
3,"(1, 0, 0)",0,1,n,False,True,True,252,4,False,False,True,4327.142,3.7895,1.2953,0.7992,51.6243
4,"(1, 0, 0)",0,1,ct,True,True,True,252,4,False,False,True,4329.1947,3.8771,1.3252,0.8218,73.8061
5,"(0, 0, 1)",0,1,ct,True,True,True,252,4,False,False,True,6078.0987,24.9781,8.5379,6.0283,91.0477
6,"(0, 0, 1)",0,1,t,True,True,True,252,4,False,False,True,6105.6932,25.6658,8.7729,6.1897,83.2231
7,"(0, 0, 1)",0,1,c,True,True,True,252,4,False,False,True,6829.1433,41.0421,14.0288,10.6476,73.312
8,"(0, 0, 1)",0,1,n,False,True,True,252,4,False,False,True,6827.2808,41.2024,14.0836,10.6894,66.8085
9,"(0, 0, 1)",0,1,n,False,True,False,,,False,False,True,6860.7524,41.2133,14.0873,10.9505,40.9959
10,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,7835.0999,79.493,27.1718,22.5551,30.0364
11,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,6955.0202,38.3105,13.0951,10.0911,39.9677
12,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,6954.9035,37.8303,12.9309,9.9628,41.1006
13,"(0, 0, 0)",0,0,n,False,True,False,,,False,False,True,7833.1172,79.626,27.2173,22.5975,28.7878
14,"(0, 1, 0)",1,0,n,False,True,False,,,False,False,True,4302.2806,3.5278,1.2059,0.7388,33.0852
15,"(0, 1, 1)",1,1,n,False,True,False,,,False,False,True,4279.6039,3.5404,1.2102,0.7394,36.3543
16,"(1, 1, 0)",1,1,n,False,True,False,,,False,False,True,4271.6605,3.5539,1.2148,0.7396,33.0748
17,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,6862.5901,41.0331,14.0257,10.9,42.6623
18,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,6098.8012,21.4696,7.3386,5.4092,45.432
19,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,6072.477,20.7708,7.0998,5.2387,51.225
20,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,4317.4584,3.6491,1.2473,0.7706,30.8792
21,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,4319.3098,3.6643,1.2525,0.7793,38.5585
22,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,4313.1948,3.6508,1.2479,0.7752,42.8146
23,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,True,4302.2844,3.5073,1.1988,0.7351,31.6598
24,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,True,4301.8396,3.4953,1.1947,0.7343,49.7145
25,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,True,4304.0679,3.4967,1.1952,0.7338,55.226
