"Date","open SPY Price in USD","high SPY Price in USD","low SPY Price in USD","close SPY Price in USD","SPY Volume","Days to cover 3m (on loan)","Days to cover 2w (on loan)","Utilization","Cost To Borrow","On Loan","FreeFloat On Loan","On Loan - Avg. Age (d)","On Loan - Number of Loans","Exchange Reported SI","Estimated Short Interest","Estimated SI % of FF","Days to cover 3m (estimated SI)","Days to cover 2w (estimated SI)","Security Lending Volume","Dividends","hidden"
"20-Mar-15",209.71,211.02,209.4903,210.41,177715081,,,,,,,,,,,,,,,
"23-Mar-15",210.42,211.11,210,210,71784536
"24-Mar-15",209.85,210.4,208.74,208.82,77805321
"25-Mar-15",209.07,209.35,205.71,205.76,159521708
"26-Mar-15",204.96,206.37,204.12,205.27,153067241
"27-Mar-15",205.13,205.95,204.9,205.74,118938966
"30-Mar-15",206.98,208.61,206.96,208.25,96180365
"31-Mar-15",207.26,208.1,206.36,206.43,126768703
"01-Apr-15",206.39,206.42,204.51,205.7,137303584
"02-Apr-15",205.62,206.98,205.4,206.435,86900906
"06-Apr-15",205.37,208.45,205.21,207.83,114368155
"07-Apr-15",207.855,208.76,207.24,207.28,81236337
"08-Apr-15",207.55,208.51,207.08,207.975,89351939
"09-Apr-15",207.78,209.18,207.19,208.9,85548854
"10-Apr-15",209.2,210.09,208.96,210.04,72722915
"13-Apr-15",209.87,210.63,209.03,209.09,74436594
"14-Apr-15",208.85,209.71,208.1,209.49,75099866
"15-Apr-15",210.05,211.04,209.95,210.43,99529320
"16-Apr-15",210.03,210.98,209.7928,210.37,68934864
"17-Apr-15",208.94,209.23,207.01,207.95,191113230
"20-Apr-15",209.06,210.25,208.96,209.85,92189481
"21-Apr-15",210.67,210.86,209.24,209.6,72559831
"22-Apr-15",210.01,210.85,208.9,210.63,78264616
"23-Apr-15",210.15,211.94,210.01,211.16,102585942
"24-Apr-15",211.66,211.97,211.11,211.6499,61327387
"27-Apr-15",212.33,212.48,210.54,210.77,79358126
"28-Apr-15",210.74,211.5,209.3301,211.44,86863531
"29-Apr-15",210.37,211.29,209.6,210.57,125684903
"30-Apr-15",209.88,210.35,207.62,208.46,161304890,,,,,,,,,,,,,,,
"01-May-15",209.4,210.77,209.28,210.72,103399711
"04-May-15",211.23,212.02,211.1,211.32,70927235
"05-May-15",211.03,211.46,208.73,208.9,113326156
"06-May-15",209.56,209.93,206.76,208.04,135060151
"07-May-15",207.92,209.38,207.52,208.87,88244940
"08-May-15",210.88,211.86,210.78,211.62,155877260
"11-May-15",211.57,211.89,210.52,210.605,75708065
"12-May-15",209.61,210.63,208.62,209.98,119727592
"13-May-15",210.47,211.22,209.74,210.02,94667943
"14-May-15",211.24,212.32,210.91,212.21,95934006
"15-May-15",212.44,212.61,211.86,212.44,76510099
"18-May-15",212.24,213.4,212.16,213.1,74549685
"19-May-15",213.24,213.57,212.69,213.03,72114610
"20-May-15",213.15,213.78,212.504,212.88,76857530
"21-May-15",212.71,213.75,212.51,213.5,64764585
"22-May-15",213.04,213.54,212.91,212.99,57433495
"26-May-15",212.4,212.9089,210.2,210.7,124308584
"27-May-15",211.25,212.98,210.7612,212.7,93213981
"28-May-15",212.33,212.59,211.63,212.46,74974560
"29-May-15",212.38,212.43,210.82,211.14,124919611
"01-Jun-15",211.94,212.34,210.62,211.57,93338750
"02-Jun-15",211.02,212.19,210.27,211.36,91531012
"03-Jun-15",212,212.67,211.3301,211.92,87820909
"04-Jun-15",211.07,211.859,209.75,210.1292,151882820
"05-Jun-15",209.95,210.58,208.98,209.77,121704676
"08-Jun-15",209.64,209.82,208.39,208.48,89063330
"09-Jun-15",208.45,209.1,207.69,208.45,105034690
"10-Jun-15",209.37,211.41,209.2987,210.95,134551285
"11-Jun-15",211.48,212.09,211.2,211.63,73876447
"12-Jun-15",210.64,211.482,209.68,210.01,135382369
"15-Jun-15",208.64,209.45,207.79,209.11,124384184
"16-Jun-15",208.93,210.35,208.72,210.25,85308227
"17-Jun-15",210.59,211.32,209.36,210.59,126708635
"18-Jun-15",211.31,213.34,210.6315,212.78,165867949
"19-Jun-15",211.46,211.55,210.36,210.81,130478689,,,,,,,,,,,,,,,
