time,open,high,low,close,volume
2021-04-28 20:00:00,418.22,418.5,418.16,418.47,42013
2021-04-28 19:00:00,418.0,418.26,417.92,418.22,128157
2021-04-28 18:00:00,418.0,418.0,417.76,418.0,186049
2021-04-28 17:00:00,417.37,418.39,416.97,418.08,3608693
2021-04-28 16:00:00,418.33,418.54,417.02,417.35,15078124
2021-04-28 15:00:00,417.31,419.01,416.9,418.33,9781781
2021-04-28 14:00:00,417.81,417.84,417.23,417.31,2843849
2021-04-28 13:00:00,417.3,417.89,417.12,417.809,2933922
2021-04-28 12:00:00,418.035,418.105,417.23,417.2919,4875257
2021-04-28 11:00:00,418.39,418.45,417.74,418.0319,4954183
2021-04-28 10:00:00,417.71,418.41,417.32,418.38,5654960
2021-04-28 09:00:00,417.9101,418.07,417.36,417.68,80054
2021-04-28 08:00:00,417.87,418.08,417.19,417.46,156203
2021-04-28 07:00:00,417.78,417.98,417.7,417.9,27097
2021-04-28 06:00:00,417.69,417.93,417.65,417.79,9111
2021-04-28 05:00:00,417.52,417.87,417.42,417.87,19891
2021-04-27 20:00:00,417.79,417.93,417.63,417.64,23457
2021-04-27 19:00:00,417.57,417.84,417.57,417.7,70724
2021-04-27 18:00:00,417.58,417.6,417.46,417.57,55149
2021-04-27 17:00:00,417.56,417.96,417.28,417.65,2367583
2021-04-27 16:00:00,417.61,418.14,417.26,417.4875,12748451
2021-04-27 15:00:00,417.4,417.82,417.07,417.61,6479249
2021-04-27 14:00:00,417.09,417.58,417.05,417.3933,2477993
2021-04-27 13:00:00,417.535,417.735,416.98,417.09,4650285
2021-04-27 12:00:00,417.17,417.66,416.9519,417.535,5857072
2021-04-27 11:00:00,416.85,417.36,416.3,417.16,7452516
2021-04-27 10:00:00,417.79,418.0,416.78,416.845,8105156
2021-04-27 09:00:00,418.0599,418.49,417.42,417.78,175471
2021-04-27 08:00:00,418.0,418.11,417.8,417.94,76612
2021-04-27 07:00:00,417.47,418.05,417.43,417.99,53215
2021-04-27 06:00:00,418.07,418.09,417.32,417.52,36057
2021-04-27 05:00:00,418.06,418.27,417.81,418.01,7812
2021-04-26 20:00:00,417.66,418.04,417.58,417.95,53372
2021-04-26 19:00:00,417.75,417.82,417.59,417.65,56245
2021-04-26 18:00:00,417.66,417.78,417.5583,417.74,567484
2021-04-26 17:00:00,417.64,417.9,417.24,417.73,3587822
2021-04-26 16:00:00,418.09,418.22,416.97,417.64,16789471
2021-04-26 15:00:00,417.705,418.11,417.7,418.0901,4699815
2021-04-26 14:00:00,417.595,417.72,417.295,417.7089,3273561
2021-04-26 13:00:00,417.68,417.81,417.28,417.595,3569015
2021-04-26 12:00:00,417.75,418.15,417.61,417.6801,4990590
2021-04-26 11:00:00,417.69,418.17,417.6,417.75,6754098
2021-04-26 10:00:00,416.83,417.98,416.82,417.69,5868740
2021-04-26 09:00:00,416.3501,417.0,416.12,416.84,265748
2021-04-26 08:00:00,416.26,416.74,416.12,416.71,196228
2021-04-26 07:00:00,416.09,416.44,416.04,416.22,57044
2021-04-26 06:00:00,416.31,416.55,416.29,416.29,10815
2021-04-26 05:00:00,416.8,416.84,416.24,416.28,26785
2021-04-23 20:00:00,416.3,416.3,416.14,416.25,50513
2021-04-23 19:00:00,416.35,416.44,416.15,416.33,32178
2021-04-23 18:00:00,416.27,416.74,416.14,416.36,185872
2021-04-23 17:00:00,416.69,416.84,416.17,416.25,8698768
2021-04-23 16:00:00,417.371,418.25,416.64,416.72,20654032
2021-04-23 15:00:00,417.015,417.58,416.75,417.375,6560087
2021-04-23 14:00:00,417.1,417.38,416.9,417.02,4383634
2021-04-23 13:00:00,416.25,417.28,416.25,417.102,5977519
2021-04-23 12:00:00,415.97,416.475,415.6119,416.2505,8632141
2021-04-23 11:00:00,414.19,416.02,414.11,415.9601,10820850
2021-04-23 10:00:00,412.72,414.2,412.68,414.18,5866382
2021-04-23 09:00:00,413.38,413.5,412.53,412.72,262571
2021-04-23 08:00:00,413.39,413.5,413.0,413.08,94585
2021-04-23 07:00:00,413.23,413.51,413.2,413.3,26262
2021-04-23 06:00:00,413.34,413.38,413.08,413.22,21863
2021-04-23 05:00:00,412.68,413.57,412.68,413.45,18304
2021-04-22 20:00:00,412.8,412.85,412.42,412.59,48988
2021-04-22 19:00:00,412.37,412.86,412.37,412.81,186724
2021-04-22 18:00:00,412.57,412.58,412.2999,412.35,927238
2021-04-22 17:00:00,412.33,412.6,411.99,412.58,3768526
2021-04-22 16:00:00,413.0,413.44,411.7599,412.32,22479591
2021-04-22 15:00:00,411.83,413.45,411.13,412.995,14621068
2021-04-22 14:00:00,416.75,416.78,411.5,411.82,27657521
2021-04-22 13:00:00,416.075,416.76,415.77,416.75,5799183
2021-04-22 12:00:00,415.86,416.45,415.71,416.075,5590047
2021-04-22 11:00:00,415.295,416.16,414.535,415.86,8406056
2021-04-22 10:00:00,415.83,416.16,414.715,415.3,6318610
2021-04-22 09:00:00,415.5099,416.14,415.41,415.85,420555
2021-04-22 08:00:00,415.53,415.73,415.4,415.52,115451
2021-04-22 07:00:00,415.9,415.9,415.4,415.55,20233
