time,open,high,low,close,volume
2021-04-23 20:00:00,416.3,416.3,416.14,416.25,50513
2021-04-23 19:00:00,416.35,416.44,416.15,416.33,32178
2021-04-23 18:00:00,416.27,416.74,416.14,416.36,185872
2021-04-23 17:00:00,416.69,416.84,416.17,416.25,8698768
2021-04-23 16:00:00,417.371,418.25,416.64,416.72,20654032
2021-04-23 15:00:00,417.015,417.58,416.75,417.375,6560087
2021-04-23 14:00:00,417.1,417.38,416.9,417.02,4383634
2021-04-23 13:00:00,416.25,417.28,416.25,417.102,5977519
2021-04-23 12:00:00,415.97,416.475,415.6119,416.2505,8632141
2021-04-23 11:00:00,414.19,416.02,414.11,415.9601,10820850
2021-04-23 10:00:00,412.72,414.2,412.68,414.18,5866382
2021-04-23 09:00:00,413.38,413.5,412.53,412.72,262571
2021-04-23 08:00:00,413.39,413.5,413.0,413.08,94585
2021-04-23 07:00:00,413.23,413.51,413.2,413.3,26262
2021-04-23 06:00:00,413.34,413.38,413.08,413.22,21863
2021-04-23 05:00:00,412.68,413.57,412.68,413.45,18304
2021-04-22 20:00:00,412.8,412.85,412.42,412.59,48988
2021-04-22 19:00:00,412.37,412.86,412.37,412.81,186724
2021-04-22 18:00:00,412.57,412.58,412.2999,412.35,927238
2021-04-22 17:00:00,412.33,412.6,411.99,412.58,3768526
2021-04-22 16:00:00,413.0,413.44,411.7599,412.32,22479591
2021-04-22 15:00:00,411.83,413.45,411.13,412.995,14621068
2021-04-22 14:00:00,416.75,416.78,411.5,411.82,27657521
2021-04-22 13:00:00,416.075,416.76,415.77,416.75,5799183
2021-04-22 12:00:00,415.86,416.45,415.71,416.075,5590047
2021-04-22 11:00:00,415.295,416.16,414.535,415.86,8406056
2021-04-22 10:00:00,415.83,416.16,414.715,415.3,6318610
2021-04-22 09:00:00,415.5099,416.14,415.41,415.85,420555
2021-04-22 08:00:00,415.53,415.73,415.4,415.52,115451
2021-04-22 07:00:00,415.9,415.9,415.4,415.55,20233
2021-04-22 06:00:00,415.62,415.87,415.54,415.85,19202
2021-04-22 05:00:00,415.61,416.02,415.52,415.6,42369
2021-04-21 20:00:00,415.16,415.32,414.93,414.94,369880
2021-04-21 19:00:00,415.29,415.43,415.07,415.2,143515
2021-04-21 18:00:00,415.39,415.4,415.11,415.29,302755
2021-04-21 17:00:00,416.07,416.0962,415.24,415.3,8169110
