date,1. open,2. high,3. low,4. close,5. volume
2021-04-12 20:00:00,140.76,140.8,140.76,140.77,2895.0
2021-04-12 19:59:00,140.7501,140.8,140.7501,140.8,1438.0
2021-04-12 19:58:00,140.75,140.76,140.75,140.7501,639.0
2021-04-12 19:57:00,140.75,140.75,140.71,140.75,1944.0
2021-04-12 19:56:00,140.88,140.88,140.75,140.75,1125.0
2021-04-12 19:54:00,140.75,140.86,140.75,140.86,584.0
2021-04-12 19:53:00,140.5,140.88,140.5,140.88,1535.0
2021-04-12 19:52:00,140.7,140.7,140.7,140.7,325.0
2021-04-12 19:49:00,140.75,140.75,140.75,140.75,591.0
2021-04-12 19:48:00,140.5,140.89,140.5,140.89,1126.0
2021-04-12 19:47:00,140.0,140.0,140.0,140.0,552.0
2021-04-12 19:45:00,140.0,140.0,140.0,140.0,431.0
2021-04-12 19:42:00,140.3,140.3,140.3,140.3,183.0
2021-04-12 19:40:00,140.5,140.5,140.5,140.5,318.0
2021-04-12 19:38:00,140.0,140.58,140.0,140.58,825.0
2021-04-12 19:35:00,139.68,140.0,139.68,140.0,400.0
2021-04-12 19:34:00,139.88,139.88,139.88,139.88,218.0
2021-04-12 19:32:00,140.0,140.0,140.0,140.0,228.0
2021-04-12 19:31:00,140.0,140.0,140.0,140.0,605.0
2021-04-12 19:25:00,140.0,140.0,140.0,140.0,184.0
2021-04-12 19:16:00,140.0,140.0,140.0,140.0,222.0
2021-04-12 19:14:00,140.09,140.09,140.09,140.09,118.0
2021-04-12 19:08:00,140.0,140.0,140.0,140.0,383.0
2021-04-12 19:01:00,139.21,139.21,139.21,139.21,175.0
2021-04-12 18:59:00,139.05,139.05,139.05,139.05,355.0
2021-04-12 18:58:00,139.0,139.0,139.0,139.0,196.0
2021-04-12 18:57:00,139.14,139.14,139.13,139.14,915.0
2021-04-12 18:56:00,139.5,139.5,139.5,139.5,376.0
2021-04-12 18:53:00,139.5,139.5,139.5,139.5,275.0
2021-04-12 18:51:00,140.19,140.19,140.05,140.05,967.0
2021-04-12 18:50:00,140.3,140.3,140.3,140.3,253.0
2021-04-12 18:49:00,140.5,140.5,140.5,140.5,828.0
2021-04-12 18:48:00,140.64,140.64,140.64,140.64,522.0
2021-04-12 18:43:00,140.69,140.69,140.69,140.69,187.0
2021-04-12 18:41:00,140.88,140.88,140.75,140.75,938.0
2021-04-12 18:32:00,140.75,140.75,140.75,140.75,226.0
2021-04-12 18:31:00,140.73,140.75,140.73,140.75,656.0
2021-04-12 18:30:00,140.64,140.64,140.64,140.64,305.0
2021-04-12 18:29:00,140.8,140.8,140.8,140.8,318.0
2021-04-12 18:23:00,140.89,140.89,140.89,140.89,108.0
2021-04-12 18:21:00,140.89,140.89,140.89,140.89,398.0
2021-04-12 18:18:00,140.64,140.65,140.64,140.65,880.0
2021-04-12 18:17:00,140.55,140.55,140.55,140.55,303.0
